Numero documento;Azienda;Titolo;Fatturato netto;Data;ID Hubspot Deal;Deal
F-907276;|:||:|company;Angolo Bellavista sagl;225;18/04/2023;;|:||:|deal
F-907275;|:||:|company;Attivazione Licenze Office 365;344.4;18/04/2023;;|:||:|deal
F-907274;|:||:|company;Contratto di noleggio/ Multifunzioni;135;18/04/2023;;|:||:|deal
F-907273;|:||:|company;ICT: Supporto Cliente;210;18/04/2023;;|:||:|deal
F-907272;|:||:|company;Fornitura Multifunzione / Rif. Ivan Marci ;2283.45;18/04/2023;;|:||:|deal
F-907271;|:||:|company;Installazione Multifunzione;195;18/04/2023;;|:||:|deal
F-907270;|:||:|company;Saldo Nuova Infrastruttura 50%;4720;18/04/2023;;|:||:|deal
F-907269;|:||:|company;Fornitura Ventola Pc ;28;18/04/2023;;|:||:|deal
F-907268;|:||:|company;Conteggio Copie Stampanti / Multifunzioni;58.25;18/04/2023;;|:||:|deal
F-907267;|:||:|company;Rinnovo domini hospitalityhub-srl.it/com/ch;95.5;17/04/2023;;|:||:|deal
F-907266;|:||:|company;Fornitura Multifunzione;275;17/04/2023;;|:||:|deal
F-907265;|:||:|company;Rinnovo monte per assistenza Adiuto;1350;17/04/2023;;|:||:|deal
F-907264;SA di Gestione Centro Shopping|:|00000000000000000000000000000791|:|company;Fornitura Multifunzione;5145;14/04/2023;;|:||:|deal
F-907263;Posta CH SA|:|00000000000000000000000000000187|:|company;Saldo 50% - Nuovo Server Windows ;9713.5;14/04/2023;;|:||:|deal
F-907262;Posta CH SA|:|00000000000000000000000000000187|:|company;Acconto 50% - Nuovo Server Windows ;9713.5;13/04/2023;;|:||:|deal
F-907261;|:|00000000000000000000000000003034|:|company;Fornitura Materiale Hardware ;368.9;18/04/2023;;|:||:|deal
F-907260;PG ASSICURA SA|:|00000000000000000000000000001064|:|company;ICT: Supporto Cliente;280;13/04/2023;;|:||:|deal
F-907259;WAI SUISSE SAGL|:|00000000000000000000000000000658|:|company;Rinnovo domini hospitality-hubsrl.it/com/ch;142.5;13/04/2023;;|:||:|deal
F-907258;Jet Car Rent Sagl|:|00000000000000000000000000000123|:|company;Fornitura Antenne ;0;13/04/2023;;|:||:|deal
F-907256;Cortesi & Associati SA|:|00000000000000000000000000000037|:|company;ICT: Supporto Cliente;560;12/04/2023;;|:||:|deal
F-907255;Tabla Sagl|:|00000000000000000000000000001021|:|company;Nuovo Switch Cisco ;645;12/04/2023;;|:||:|deal
F-907254;PM Progetto Marketing Sagl|:|00000000000000000000000000000141|:|company;Fornitura Lenovo ;1561;18/04/2023;;|:||:|deal
F-907253;Servizio Trasfusionale CRS della Svizzera Italiana|:|00000000000000000000000000000277|:|company;ICT: Supporto Cliente/NOLARMA SERVICE SAGL;150;18/04/2023;;|:||:|deal
F-907252;Servizio Trasfusionale CRS della Svizzera Italiana|:|00000000000000000000000000000277|:|company;ICT: Supporto Cliente/Piona Engineering SA;150;18/04/2023;;|:||:|deal
F-907251;Point Service Interim SA|:|00000000000000000000000000000010|:|company;BeAll Backup ;1620;11/04/2023;;|:||:|deal
F-907250;|:|00000000000000000000000000003034|:|company;Hosting ;289;11/04/2023;;|:||:|deal
F-907249;|:|00000000000000000000000000002535|:|company;Installazione multifunzione ;475;11/04/2023;;|:||:|deal
F-907248;PM Progetto Marketing Sagl|:|00000000000000000000000000000141|:|company;ICT: Supporto Cliente;195;07/04/2023;;|:||:|deal
F-907247;Energie Service SA|:|00000000000000000000000000000091|:|company;Acconto 50% - Nuova infrastruttura IT ;1445.5;07/04/2023;;|:||:|deal
F-907246;Aequitum Sa|:|00000000000000000000000000000092|:|company;ICT: Supporto Cliente;280;07/04/2023;;|:||:|deal
F-907245;Extra Italy srl|:|00000000000000000000000000000062|:|company;ICT: Supporto Cliente;101.25;18/04/2023;;|:||:|deal
F-907244;Mirsad Tigani|:|00000000000000000000000000000786|:|company;ICT: Supporto Cliente;210;12/04/2023;;|:||:|deal
F-907243;Augusto Resinelli SA|:|00000000000000000000000000000485|:|company;ICT: Supporto Cliente;35;07/04/2023;;|:||:|deal
F-907242;BRACK.CH AG|:|00000000000000000000000000000185|:|company;ICT: Supporto Cliente;105;07/04/2023;;|:||:|deal
F-907241;3B Biotech Research SAGL|:|00000000000000000000000000000496|:|company;ICT: Supporto Cliente;35;07/04/2023;;|:||:|deal
F-907240;SKF Fiduciaria Sagl|:|00000000000000000000000000000601|:|company;ICT: Supporto Cliente;140;07/04/2023;;|:||:|deal
F-907239;Soldy Group SA|:|00000000000000000000000000000375|:|company;ICT: Supporto Cliente;315;18/04/2023;;|:||:|deal
F-907238;|:|00000000000000000000000000002461|:|company;Materiale aggiuntivo - attivitÃ  27.03.2023;0;07/04/2023;;|:||:|deal
F-907237;Studio Medico Dr. Volonté|:|00000000000000000000000000000255|:|company;ICT: Supporto Cliente;175;07/04/2023;;|:||:|deal
F-907236;Energie Service SA|:|00000000000000000000000000000091|:|company;Saldo 50% - Nuova infrastruttura IT ;1620.3;06/04/2023;;|:||:|deal
F-907235;Fidubox Sagl|:|00000000000000000000000000000760|:|company;Fornitura Server ;3852;06/04/2023;;|:||:|deal
F-907234;|:|00000000000000000000000000002461|:|company;Fornitura Plotter HP ;2075;05/04/2023;;|:||:|deal
F-907233;Il Dentista Dr. Alessandro Rossi SA|:|00000000000000000000000000000398|:|company;DCS+ Services;4419.65;03/04/2023;;|:||:|deal
F-907232;|:|00000000000000000000000000002810|:|company;Saldo 50% - Sbcon Hosted con Pwlan e TV L  ;695;05/04/2023;;|:||:|deal
F-907231;|:|00000000000000000000000000002810|:|company;Acconto 50% - Sbcon Hosted con Pwlan e TV L  ;695;05/04/2023;;|:||:|deal
F-907230;|:|00000000000000000000000000000532|:|company;Saldo 50% - Conversione da Sbcon Hosted a Sbcon Trunk Light con 3CX  ;960;05/04/2023;;|:||:|deal
F-907229;|:|00000000000000000000000000000532|:|company;Acconto 50% - Conversione da Sbcon Hosted a Sbcon Trunk Light con 3CX  ;960;05/04/2023;;|:||:|deal
F-907228;Futurlegno SA|:|00000000000000000000000000003010|:|company;Saldo - TV per il piccolo Hotel;2446.2;05/04/2023;;|:||:|deal
F-907227;Futurlegno SA|:|00000000000000000000000000003010|:|company;Acconto - TV per il piccolo Hotel;5707.8;05/04/2023;;|:||:|deal
F-907226;Futurlegno SA|:|00000000000000000000000000003010|:|company;Saldo 50% - Allestimento di un nuovo piccolo Hotel  ;1654.5;05/04/2023;;|:||:|deal
